make,model,engine_size,trim,mileage,transmission_type,reg_year,fuel_type,price
Audi,A3,1.8,S3 TFSI Quattro 4dr S Tronic [Comfort-PlusSound],"16,612",Manual,2022,Petrol,"£33,799"
Vauxhall,Corsa,1.8,1.2 Turbo SRi 5dr,"28,778",Manual,2020,Petrol,"£10,499"
Toyota,C-Hr,1.8,1.8 Hybrid Design 5dr CVT,"22,720",Manual,2020,Petrol/Electric,"£17,999"
Honda,Jazz,1.8,1.5 i-MMD Hybrid SR 5dr eCVT,"43,116",Manual,2021,Petrol/Electric,"£14,999"
Mini,Hatchback,1.8,1.5 Cooper Classic 5dr,"12,317",Manual,2021,Petrol,"£15,999"
Vauxhall,Corsa,1.8,1.2 Turbo Elite Nav 5dr,"41,614",Manual,2020,Petrol,"£9,999"
Vauxhall,Corsa,1.8,1.2 Turbo Elite Nav Premium 5dr,"14,352",Manual,2020,Petrol,"£12,599"
Mercedes-Benz,C Class,1.8,C200 Sport Premium Plus 4dr 9G-Tronic,"21,854",Manual,2019,Petrol,"£22,699"
Vauxhall,Crossland X,1.8,1.2 [83] SRi Nav 5dr [Start Stop],"41,626",Manual,2020,Petrol,"£9,999"
Vauxhall,Crossland X,1.8,1.2 [83] Griffin 5dr [Start Stop],"41,157",Manual,2020,Petrol,"£9,999"
Vauxhall,Crossland X,1.8,1.2T [130] Elite 5dr [Start Stop],"46,950",Manual,2020,Petrol,"£9,999"
Mg,Motor Uk ZS,1.8,1.0T GDi Excite 5dr DCT,"45,761",Manual,2021,Petrol,"£12,999"
Nissan,Micra,1.8,1.0 IG-T 100 Acenta 5dr,"27,278",Manual,2020,Petrol,"£9,999"
Ford,Fiesta,1.8,1.0 EcoBoost 95 ST-Line X Edition 5dr,"39,128",Manual,2020,Petrol,"£12,599"
Vauxhall,Corsa,1.8,1.2 Turbo Elite Nav 5dr,"42,444",Manual,2020,Petrol,"£9,999"
Vauxhall,Corsa,1.8,1.2 Turbo SRi Premium 5dr,"45,271",Manual,2020,Petrol,"£9,999"
BMW,2 Series,1.8,218i [136] M Sport 4dr [Pro Pack],"11,524",Manual,2023,Petrol,"£23,999"
Ford,Puma,1.8,1.0 EcoBoost ST-Line X 5dr Auto,"25,334",Manual,2020,Petrol,"£17,999"
Vauxhall,Crossland X,1.8,1.2 [83] Griffin 5dr [Start Stop],"45,408",Manual,2020,Petrol,"£9,999"
Land,Rover Discovery Sport,1.8,2.0 D180 SE 5dr Auto,"17,357",Manual,2020,Diesel,"£28,999"
Toyota,C-Hr,1.8,1.8 Hybrid Icon 5dr CVT,"18,568",Manual,2020,Petrol/Electric,"£18,299"
Suzuki,Vitara,1.8,1.0 Boosterjet SZ4 5dr,"20,240",Manual,2019,Petrol,"£11,099"
Volkswagen,Golf,1.8,1.0 TSI 115 Match Edition 5dr,"35,344",Manual,2019,Petrol,"£13,999"
Audi,A3,1.8,30 TFSI Technik 5dr,"15,228",Manual,2020,Petrol,"£17,799"
Peugeot,208,1.8,1.2 PureTech 100 Allure 5dr EAT8,"4,030",Manual,2020,Petrol,"£16,599"
Nissan,Qashqai,1.8,1.3 DiG-T MH Acenta Premium 5dr,"6,355",Manual,2023,Petrol,"£21,999"
Audi,Q2,1.8,30 TDI S Line 5dr,"12,082",Manual,2020,Diesel,"£18,999"
Mg,Motor Uk HS,1.8,1.5 T-GDI Excite 5dr DCT,"43,922",Manual,2021,Petrol,"£14,999"
Nissan,Juke,1.8,1.0 DiG-T 114 Tekna 5dr,"17,232",Manual,2021,Petrol,"£16,999"
Fiat,500X,1.8,1.0 Red 5dr,"12,537",Manual,2022,Petrol,"£15,699"
Nissan,Qashqai,1.8,1.3 DiG-T N-Connecta 5dr,"17,303",Manual,2020,Petrol,"£15,999"
Volkswagen,Polo,1.8,1.0 EVO 80 United 5dr,"15,455",Manual,2021,Petrol,"£14,399"
BMW,X2,1.8,sDrive 18i SE 5dr,"21,149",Manual,2019,Petrol,"£16,999"
BMW,1 Series,1.8,128ti 5dr Step Auto [LCP-Pro-Tech pk],"8,513",Manual,2023,Petrol,"£29,999"
BMW,1 Series,1.8,128ti 5dr Step Auto [LCP-Pro-Tech pk],"8,139",Manual,2023,Petrol,"£29,999"
Ford,Kuga,1.8,1.5 EcoBoost Titanium Edition 5dr 2WD,"5,267",Manual,2019,Petrol,"£15,999"
Mercedes-Benz,A Class,1.8,A35 4Matic Premium 5dr Auto,"24,439",Manual,2019,Petrol,"£26,999"
Vauxhall,Corsa,1.8,1.4 SRi Nav 5dr,"27,542",Manual,2019,Petrol,"£9,299"
Mercedes-Benz,CLA,1.8,CLA 180 AMG Line Premium 5dr Tip Auto,"21,857",Manual,2022,Petrol,"£25,599"
BMW,3 Series,1.8,330e M Sport 4dr Step Auto,"30,518",Manual,2020,Petrol/PlugIn,"£22,999"
Fiat,500,1.8,1.0 Mild Hybrid Dolcevita [Part Leather] 3dr,"3,832",Manual,2021,Petrol/Electric,"£11,599"
Vauxhall,Crossland X,1.8,1.2 [83] Elite Nav 5dr,"46,593",Manual,2020,Petrol,"£9,999"
Citroen,C3,1.8,1.2 PureTech Shine 5dr,"26,981",Manual,2021,Petrol,"£10,999"
Volkswagen,Golf,1.8,2.0 TSI 300 R 5dr 4MOTION DSG,"25,204",Manual,2020,Petrol,"£25,499"
Mercedes-Benz,B Class,1.8,B200d AMG Line Premium 5dr Auto,"23,553",Manual,2017,Diesel,"£14,599"
Vauxhall,Corsa,1.8,1.2 Turbo SRi Premium 5dr,"32,810",Manual,2020,Petrol,"£9,999"
Vauxhall,Grandland X,1.8,1.2 Turbo SRi Nav 5dr,"16,005",Manual,2020,Petrol,"£13,599"
Audi,A6,1.8,40 TDI Black Edition 5dr S Tronic [Tech Pack],"27,678",Manual,2021,Diesel,"£30,999"
Honda,Jazz,1.8,1.5 i-MMD Hybrid SR 5dr eCVT,"42,963",Manual,2021,Petrol/Electric,"£14,999"
KIA,Picanto,1.8,1.0 X-Line S 5dr,"11,876",Manual,2022,Petrol,"£12,999"
Citroen,C3,1.8,1.2 PureTech 110 Flair 5dr EAT6,"19,021",Manual,2019,Petrol,"£13,799"
Ford,Fiesta,1.8,1.0 EcoBoost 95 ST-Line Edition 5dr,"26,852",Manual,2020,Petrol,"£11,999"
Suzuki,Swace,1.8,1.8 Hybrid SZ5 5dr CVT,"21,373",Manual,2020,Petrol/Electric,"£16,399"
Mg,Motor Uk HS,1.8,1.5 T-GDI Excite 5dr,"15,087",Manual,2022,Petrol,"£16,799"
Volkswagen,Arteon,1.8,2.0 TSI R-Line Edition 5dr DSG,"14,497",Manual,2020,Petrol,"£25,999"
Renault,Captur,1.8,1.3 TCE 130 Iconic 5dr,"49,852",Manual,2020,Petrol,"£10,999"
Ford,Fiesta,1.8,1.0 EcoBoost 95 Titanium 5dr,"40,707",Manual,2020,Petrol,"£9,999"
Vauxhall,Corsa,1.8,1.2 Turbo SRi 5dr,"33,021",Manual,2019,Petrol,"£9,999"
Nissan,Qashqai,1.8,1.5 dCi 115 Acenta Premium 5dr,"24,636",Manual,2020,Diesel,"£14,699"
Ford,Fiesta,1.8,1.0 EcoBoost 95 Titanium 5dr,"44,704",Manual,2020,Petrol,"£9,999"
Vauxhall,Grandland X,1.8,1.2 Turbo SRi Nav 5dr,"19,908",Manual,2020,Petrol,"£13,999"
Ford,Fiesta,1.8,1.0 EcoBoost 125 Titanium X 5dr Auto [7 Speed],"34,197",Manual,2021,Petrol,"£13,999"
Vauxhall,Grandland X,1.8,1.2 Turbo SE Premium 5dr,"25,589",Manual,2021,Petrol,"£13,499"
BMW,1 Series,1.8,M135i xDrive 5dr Step Auto,"17,038",Manual,2020,Petrol,"£25,999"
Vauxhall,Corsa,1.8,1.4 SRi Vx-line 5dr,"46,029",Manual,2017,Petrol,"£7,999"
Volkswagen,Polo,1.8,1.0 TSI 95 Match 5dr DSG,"28,437",Manual,2021,Petrol,"£15,299"
BMW,1 Series,1.8,M135i xDrive 5dr Step Auto [Pro Pack],"25,524",Manual,2021,Petrol,"£27,599"
Ford,Ka-Plus,1.8,1.2 Zetec 5dr,"9,898",Manual,2017,Petrol,"£8,999"
Skoda,Octavia,1.8,1.6 TDI SE Technology 5dr,"36,646",Manual,2019,Diesel,"£13,999"
Nissan,Qashqai,1.8,1.5 dCi 115 Acenta Premium 5dr DCT,"24,738",Manual,2019,Diesel,"£14,999"
Renault,Captur,1.8,1.0 TCE 100 S Edition 5dr,"45,214",Manual,2020,Petrol,"£10,999"
Ford,Kuga,1.8,1.5 EcoBoost ST-Line Edition 5dr 2WD,"22,011",Manual,2019,Petrol,"£16,999"
Vauxhall,Corsa,1.8,1.2 Turbo SE Premium 5dr Auto,"24,104",Manual,2020,Petrol,"£12,399"
Vauxhall,Grandland X,1.8,1.2 Turbo SE 5dr,"14,127",Manual,2019,Petrol,"£11,999"
Vauxhall,Crossland,1.8,1.2 Turbo [130] Elite 5dr Auto,"11,308",Manual,2021,Petrol,"£15,999"
Ford,Fiesta,1.8,1.0 EcoBoost 95 Titanium X 5dr,"40,267",Manual,2020,Petrol,"£10,999"
Mg,Motor Uk HS,1.8,1.5 T-GDI Excite 5dr DCT,"49,965",Manual,2021,Petrol,"£14,999"
Vauxhall,Corsa,1.8,1.2 Turbo SRi Nav 5dr,"27,002",Manual,2020,Petrol,"£11,599"
Nissan,Qashqai,1.8,1.5 dCi 115 Acenta Premium 5dr DCT,"29,342",Manual,2019,Diesel,"£14,999"
Peugeot,208,1.8,1.2 PureTech 110 GT Line 5dr [6 Speed],"34,873",Manual,2019,Petrol,"£9,999"
Seat,Arona,1.8,1.0 TSI 115 Xcellence Lux [EZ] 5dr DSG,"16,360",Manual,2018,Petrol,"£14,999"
Nissan,Qashqai,1.8,1.3 DiG-T 160 Tekna 5dr,"19,475",Manual,2020,Petrol,"£17,799"
Vauxhall,Corsa,1.8,1.2 SE 5dr,"33,949",Manual,2020,Petrol,"£9,999"
Renault,Captur,1.8,1.0 TCE 100 Iconic 5dr,"45,458",Manual,2020,Petrol,"£10,999"
Peugeot,3008,1.8,1.5 BlueHDi GT Line 5dr,"26,471",Manual,2020,Diesel,"£16,999"
Dacia,Sandero,1.8,1.0 SCe Ambiance 5dr,"47,972",Manual,2017,Petrol,"£5,499"
Toyota,C-Hr,1.8,1.2T Icon 5dr,"22,943",Manual,2019,Petrol,"£13,999"
Mg,Motor Uk HS,1.8,1.5 T-GDI Excite 5dr DCT,"44,407",Manual,2021,Petrol,"£14,999"
Toyota,C-Hr,1.8,1.2T Excel 5dr [Leather],"6,675",Manual,2019,Petrol,"£16,099"
Lexus,RC,1.8,300h 2.5 F-Sport 2dr CVT,"38,604",Manual,2020,Petrol/Electric,"£25,999"
Hyundai,Kona,1.8,1.0T GDi Blue Drive Premium 5dr,"20,644",Manual,2020,Petrol,"£13,999"
Mg,Motor Uk HS,1.8,1.5 T-GDI Exclusive 5dr,"7,912",Manual,2022,Petrol,"£17,999"
Volkswagen,Tiguan,1.8,1.5 TSi EVO 150 Match 5dr DSG,"19,069",Manual,2020,Petrol,"£20,999"
Ford,Fiesta,1.8,1.0 EcoBoost Active 1 5dr,"44,510",Manual,2020,Petrol,"£9,999"
Renault,Kadjar,1.8,1.3 TCE Iconic 5dr,"11,845",Manual,2019,Petrol,"£12,599"
Nissan,Qashqai,1.8,1.5 dCi 115 N-Connecta 5dr [Glass Roof Pack],"25,950",Manual,2019,Diesel,"£14,599"
Mercedes-Benz,A Class,1.8,A200 AMG Line 5dr Auto,"33,872",Manual,2018,Petrol,"£17,499"
Audi,Q2,1.8,35 TFSI Black Edition 5dr,"11,534",Manual,2022,Petrol,"£26,699"
Mg,Motor Uk HS,1.8,1.5 T-GDI Exclusive 5dr DCT,"11,997",Manual,2023,Petrol,"£20,999"
Renault,ZOE,1.8,100kW Iconic R135 50kWh Rapid Charge 5dr Auto,"6,394",Manual,2021,Electric,"£12,999"
Toyota,C-Hr,1.8,1.8 Hybrid Dynamic 5dr CVT [Leather],"44,794",Manual,2017,Petrol/Electric,"£15,999"
Mg,Motor Uk HS,1.8,1.5 T-GDI Exclusive 5dr,"19,349",Manual,2022,Petrol,"£17,699"
Honda,Jazz,1.8,1.5 i-MMD Hybrid SR 5dr eCVT,"45,443",Manual,2021,Petrol/Electric,"£14,999"
Vauxhall,Grandland X,1.8,1.2 Turbo SE 5dr,"9,503",Manual,2020,Petrol,"£12,999"
Skoda,Karoq,1.8,1.0 TSI 110 SE Technology 5dr,"8,815",Manual,2021,Petrol,"£16,599"
Honda,Civic,1.8,1.0 VTEC Turbo 126 SE 5dr,"37,414",Manual,2022,Petrol,"£13,999"
Vauxhall,Corsa,1.8,1.2 Turbo SRi 5dr,"31,851",Manual,2020,Petrol,"£9,999"
Audi,A3,1.8,35 TFSI S Line 5dr S Tronic,"12,769",Manual,2022,Petrol,"£24,699"
Renault,Kadjar,1.8,1.3 TCE S Edition 5dr,"45,040",Manual,2020,Petrol,"£12,999"
Audi,A6,1.8,40 TFSI Sport 4dr S Tronic,"17,149",Manual,2021,Petrol,"£24,999"
Honda,Civic,1.8,1.0 VTEC Turbo 126 SE 5dr,"34,036",Manual,2022,Petrol,"£13,999"
Vauxhall,Corsa,1.8,1.2 Turbo SRi Premium 5dr,"29,381",Manual,2020,Petrol,"£9,999"
Mercedes-Benz,A Class,1.8,A200 AMG Line 5dr,"18,919",Manual,2020,Petrol,"£18,999"
Volkswagen,Tiguan,1.8,2.0 TDi 150 SEL 5dr DSG,"46,087",Manual,2019,Diesel,"£18,999"
Audi,A1,1.8,30 TFSI S Line 5dr,"19,643",Manual,2019,Petrol,"£16,999"
Vauxhall,Mokka,1.8,1.2 Turbo 100 Elite Nav Premium 5dr,"14,061",Manual,2021,Petrol,"£16,999"
Vauxhall,Crossland X,1.8,1.2T [110] SRi Nav 5dr [6 Spd] [S-S],"40,252",Manual,2020,Petrol,"£9,999"
Suzuki,Vitara,1.8,1.4 Boosterjet SZ-T 5dr Auto,"19,143",Manual,2019,Petrol,"£13,999"
Nissan,Qashqai,1.8,1.3 DiG-T N-Connecta 5dr,"15,269",Manual,2020,Petrol,"£15,599"
Mitsubishi,ASX,1.8,2.0 Dynamic 5dr,"26,281",Manual,2020,Petrol,"£13,399"
Volkswagen,Golf,1.8,2.0 TDI R-Line Edition 5dr DSG,"28,280",Manual,2019,Diesel,"£18,599"
Mercedes-Benz,A Class,1.8,A200 AMG Line Premium Plus 5dr Auto,"24,516",Manual,2018,Petrol,"£21,999"
Ford,Focus,1.8,1.5 EcoBlue 120 ST-Line X 5dr,"30,014",Manual,2019,Diesel,"£14,999"
Mg,Motor Uk HS,1.8,1.5 T-GDI Exclusive 5dr,"13,478",Manual,2022,Petrol,"£17,999"
Vauxhall,Crossland X,1.8,1.2T [130] Elite 5dr [Start Stop],"42,728",Manual,2020,Petrol,"£9,999"
Hyundai,Tucson,1.8,1.6 GDi SE Nav 5dr 2WD,"15,713",Manual,2020,Petrol,"£14,299"
BMW,4 Series,1.8,420i M Sport 5dr Auto [Professional Media],"20,571",Manual,2020,Petrol,"£21,999"
Skoda,Kamiq,1.8,1.0 TSI 110 SE L 5dr,"7,665",Manual,2021,Petrol,"£16,799"
Nissan,Juke,1.8,1.6 [112] Bose Personal Edition 5dr CVT,"27,225",Manual,2019,Petrol,"£12,999"
Mercedes-Benz,A Class,1.8,A200 Sport Executive Edition 5dr Auto,"29,521",Manual,2022,Petrol,"£21,999"
KIA,Stonic,1.8,1.0T GDi 2 5dr,"26,997",Manual,2019,Petrol,"£11,999"
Toyota,C-Hr,1.8,1.8 Hybrid Dynamic 5dr CVT,"33,258",Manual,2017,Petrol/Electric,"£15,999"
KIA,Stonic,1.8,1.0T GDi 3 5dr Auto,"5,922",Manual,2019,Petrol,"£15,999"
Suzuki,Vitara,1.8,1.0 Boosterjet SZ4 5dr,"29,420",Manual,2019,Petrol,"£10,999"
Skoda,Fabia,1.8,1.0 TSI SE L 5dr,"26,459",Manual,2020,Petrol,"£11,999"
Mercedes-Benz,GLB,1.8,GLB 200 AMG Line Premium Plus 5dr 7G-Tronic,"8,578",Manual,2022,Petrol,"£35,499"
Volvo,Xc60,1.8,2.0 B4P Plus Dark 5dr Geartronic,"5,214",Manual,2023,Petrol,"£39,699"
Mg,Motor Uk HS,1.8,1.5 T-GDI PHEV Excite 5dr Auto,"17,008",Manual,2021,Petrol/PlugIn,"£19,999"
Mercedes-Benz,GLA,1.8,GLA 180 Urban Edition 5dr Auto,"45,335",Manual,2019,Petrol,"£17,599"
Mercedes-Benz,A Class,1.8,A220d AMG Line Executive 4dr Auto,"17,149",Manual,2021,Diesel,"£23,999"
Vauxhall,Corsa,1.8,1.2 Turbo SRi Premium 5dr,"35,433",Manual,2020,Petrol,"£9,999"
Mercedes-Benz,C Class,1.8,C200 AMG Line Night Ed Premium Plus 5dr 9G-Tronic,"25,137",Manual,2021,Petrol,"£27,699"
BMW,X5,1.8,xDrive40d M Sport 5dr Auto [7 Seat],"36,404",Manual,2018,Diesel,"£31,399"
BMW,X5,1.8,xDrive30d MHT M Sport 5dr Auto [Tech-Pro Pack],"7,307",Manual,2022,Diesel,"£53,999"
Toyota,Rav4,1.8,2.5 VVT-i Hybrid Excel 5dr CVT,"16,588",Manual,2019,Petrol/Electric,"£25,999"
KIA,Niro,1.8,1.6 GDi Hybrid 2 5dr DCT,"14,715",Manual,2022,Petrol/Electric,"£19,699"
Peugeot,208,1.8,1.2 PureTech Active Premium 5dr,"15,952",Manual,2020,Petrol,"£12,999"
Vauxhall,Corsa,1.8,1.2 Turbo SRi 5dr,"46,558",Manual,2020,Petrol,"£9,999"
Ford,Fiesta,1.8,1.0 EcoBoost 125 Titanium X 5dr Auto [7 Speed],"13,685",Manual,2021,Petrol,"£14,999"
BMW,3 Series,1.8,330d M Sport Shadow Edition 5dr Step Auto,"47,926",Manual,2019,Diesel,"£22,999"
Volvo,Xc40,1.8,2.0 B3P Core 5dr Auto,"6,686",Manual,2023,Petrol,"£29,599"
Vauxhall,Corsa,1.8,1.2 Turbo Elite Nav Premium 5dr Auto,"18,769",Manual,2020,Petrol,"£13,999"
Mg,Motor Uk HS,1.8,1.5 T-GDI Exclusive 5dr,"19,861",Manual,2022,Petrol,"£17,699"
Mg,Motor Uk HS,1.8,1.5 T-GDI Exclusive 5dr,"20,334",Manual,2022,Petrol,"£16,999"
Vauxhall,Corsa,1.8,1.2 SE Edition 5dr,"30,416",Manual,2022,Petrol,"£10,799"
Vauxhall,Corsa,1.8,1.2 Turbo Elite Nav 5dr,"43,465",Manual,2020,Petrol,"£9,999"
BMW,1 Series,1.8,118i [136] M Sport 5dr Step Auto [LCP-Pro pk],"6,994",Manual,2022,Petrol,"£27,999"
BMW,1 Series,1.8,118i [136] M Sport 5dr Step Auto [LCP-Pro pk],"3,500",Manual,2023,Petrol,"£27,599"
Peugeot,308,1.8,1.2 PureTech Active Premium 5dr EAT8,"14,039",Manual,2022,Petrol,"£18,599"
Audi,Q3,1.8,2.0 TDI [184] Quattro Black Edition 5dr,"26,946",Manual,2017,Diesel,"£20,099"
Mercedes-Benz,A Class,1.8,A180 AMG Line Executive Edition 5dr Auto,"29,024",Manual,2022,Petrol,"£22,999"
Renault,Kadjar,1.8,1.3 TCE Iconic 5dr,"14,154",Manual,2020,Petrol,"£13,699"
Volkswagen,Taigo,1.8,1.0 TSI 110 R-Line 5dr DSG,"8,407",Manual,2022,Petrol,"£22,999"
Audi,A3,1.8,30 TFSI Technik 5dr,"30,878",Manual,2021,Petrol,"£16,999"
Volkswagen,Tiguan,1.8,1.5 TSi EVO 150 Match 5dr,"28,861",Manual,2020,Petrol,"£18,999"
BMW,2 Series,1.8,218i SE 5dr,"20,075",Manual,2020,Petrol,"£15,999"
Audi,A1,1.8,25 TFSI Technik 5dr,"7,195",Manual,2022,Petrol,"£17,599"
Vauxhall,Crossland X,1.8,1.2 [83] SRi Nav 5dr [Start Stop],"42,220",Manual,2020,Petrol,"£9,999"
Ford,Fiesta,1.8,1.0 EcoBoost 95 Titanium 5dr,"40,162",Manual,2020,Petrol,"£9,999"
Vauxhall,Corsa,1.8,1.2 Turbo SRi Premium 5dr,"42,983",Manual,2020,Petrol,"£9,999"
Ford,Fiesta,1.8,1.0 EcoBoost Active 1 5dr,"36,726",Manual,2020,Petrol,"£9,999"
Citroen,C3 Aircross,1.8,1.2 PureTech 110 Flair 5dr [6 speed],"16,924",Manual,2020,Petrol,"£12,599"
Audi,A3,1.8,1.5 TFSI S Line 5dr S Tronic,"38,636",Manual,2019,Petrol,"£17,399"
Mazda,Cx-30,1.8,2.0 Skyactiv-X MHEV SE-L 5dr,"18,597",Manual,2020,Petrol/Electric,"£16,399"
Audi,A1,1.8,25 TFSI Sport 5dr,"10,324",Manual,2019,Petrol,"£15,699"
Vauxhall,Corsa,1.8,1.2 SE Nav 5dr,"37,160",Manual,2020,Petrol,"£9,399"
Ford,Fiesta,1.8,1.0 EcoBoost Hybrid mHEV 125 Titanium X 5dr,"25,078",Manual,2021,Petrol/Electric,"£12,999"
Ford,Focus,1.8,1.0 EcoBoost 125 Zetec Edition 5dr Auto,"11,070",Manual,2018,Petrol,"£12,999"
Vauxhall,Corsa,1.8,1.2 Turbo SRi 5dr,"33,000",Manual,2020,Petrol,"£9,999"
Mercedes-Benz,GLA,1.8,GLA 200 Sport 5dr Auto,"15,790",Manual,2018,Petrol,"£19,499"
Vauxhall,Corsa,1.8,1.2 Turbo SRi Premium 5dr,"43,661",Manual,2020,Petrol,"£9,999"
Ford,Puma,1.8,1.0 EcoBoost Hybrid mHEV Titanium 5dr,"13,327",Manual,2022,Petrol/Electric,"£16,999"
KIA,Ceed,1.8,1.6T GDi ISG GT 5dr,"25,715",Manual,2019,Petrol,"£16,999"
Skoda,Kodiaq,1.8,2.0 TSI SE L 4x4 5dr DSG [7 Seat],"40,151",Manual,2017,Petrol,"£19,999"
Vauxhall,Crossland X,1.8,1.2 [83] Griffin 5dr [Start Stop],"40,968",Manual,2020,Petrol,"£9,999"
Audi,A4,1.8,35 TFSI Black Edition 5dr,"14,715",Manual,2021,Petrol,"£24,599"
Ford,Kuga,1.8,2.0 EcoBlue mHEV ST-Line X Edition 5dr,"22,331",Manual,2021,Diesel/Electric,"£23,699"
Honda,Jazz,1.8,1.5 i-MMD Hybrid SR 5dr eCVT,"41,101",Manual,2021,Petrol/Electric,"£14,999"
Suzuki,Swift,1.8,1.4 Boosterjet 48V Hybrid Sport 5dr,"26,640",Manual,2022,Petrol/Electric,"£14,999"
Toyota,Aygo,1.8,1.0 VVT-i X-Play 5dr,"27,443",Manual,2018,Petrol,"£7,599"
Audi,A8,1.8,50 TDI Quattro S Line 4dr Tiptronic,"42,490",Manual,2019,Diesel,"£29,999"
Mg,Motor Uk ZS,1.8,1.5 VTi-TECH Limited Edition 5dr,"36,253",Manual,2019,Petrol,"£11,999"
Land,Rover Range Rover Evoque,1.8,2.0 P200 R-Dynamic HSE 5dr Auto,"11,918",Manual,2019,Petrol,"£31,999"
Audi,A1,1.8,25 TFSI Technik 5dr,"7,331",Manual,2023,Petrol,"£18,999"
Citroen,C3 Aircross,1.8,1.2 PureTech 130 Flair 5dr EAT6,"26,083",Manual,2019,Petrol,"£13,699"
Volvo,Xc40,1.8,2.0 B3P Plus Dark 5dr Auto,"12,146",Manual,2023,Petrol,"£32,599"
Skoda,Karoq,1.8,1.5 TSI SE 5dr DSG,"10,472",Manual,2019,Petrol,"£16,999"
Vauxhall,Corsa,1.8,1.2 Turbo SRi 5dr,"37,198",Manual,2020,Petrol,"£9,999"
Skoda,Octavia,1.8,1.5 TSI e-TEC SE L 5dr DSG,"19,713",Manual,2021,Petrol,"£21,999"
Skoda,Kodiaq,1.8,2.0 TDI 190 Scout 4x4 5dr DSG [7 Seat],"47,669",Manual,2018,Diesel,"£23,999"
Renault,Kadjar,1.8,1.3 TCE GT Line 5dr EDC,"17,954",Manual,2019,Petrol,"£15,499"
Volvo,Xc60,1.8,2.0 B4P Plus Dark 5dr Geartronic,"14,876",Manual,2023,Petrol,"£38,999"
Ford,Fiesta,1.8,1.5 EcoBoost ST-3 5dr,"4,965",Manual,2023,Petrol,"£22,999"
Ford,Focus,1.8,1.5 EcoBlue Trend 5dr,"7,582",Manual,2022,Diesel,"£16,999"
Ford,Puma,1.8,1.0 EcoBoost Hybrid mHEV ST-Line 5dr DCT,"6,335",Manual,2022,Petrol/Electric,"£20,999"
Ford,Focus,1.8,1.0 EcoBoost Hybrid mHEV 155 Active Style 5dr,"9,463",Manual,2022,Petrol/Electric,"£18,999"
Ford,Kuga,1.8,1.5 EcoBlue Zetec 5dr Auto,"19,436",Manual,2022,Diesel,"£18,999"
Ford,Ecosport,1.8,1.0 EcoBoost 125 ST-Line 5dr,"9,669",Manual,2022,Petrol,"£16,599"
Peugeot,5008,1.8,1.5 BlueHDi Allure 5dr,"31,308",Manual,2019,Diesel,"£18,999"
Mercedes-Benz,A Class,1.8,A180d AMG Line Premium 5dr Auto,"34,805",Manual,2019,Diesel,"£19,999"
Vauxhall,Corsa,1.8,1.2 Turbo Elite Nav 5dr,"44,246",Manual,2020,Petrol,"£9,999"
Toyota,Corolla,1.8,1.8 VVT-i Hybrid Icon Tech 5dr CVT,"17,100",Manual,2020,Petrol/Electric,"£15,999"
Vauxhall,Corsa,1.8,1.2 SE Edition 5dr,"30,102",Manual,2022,Petrol,"£10,799"
Land,Rover Range Rover Evoque,1.8,2.0 D150 S 5dr 2WD,"16,233",Manual,2019,Diesel,"£20,999"
Seat,Leon,1.8,1.0 TSI EVO FR 5dr,"11,489",Manual,2021,Petrol,"£16,599"
Mercedes-Benz,GLA,1.8,GLA 180 Urban Edition 5dr Auto,"35,779",Manual,2018,Petrol,"£17,999"
Volkswagen,Golf,1.8,1.6 TDI Match Edition 5dr,"18,065",Manual,2020,Diesel,"£15,799"
Mini,Countryman,1.8,2.0 Cooper S Classic 5dr,"15,704",Manual,2020,Petrol,"£17,999"
Volkswagen,Tiguan,1.8,1.5 TSi EVO 150 Match 5dr,"23,583",Manual,2020,Petrol,"£18,999"
Vauxhall,Corsa,1.8,1.4 SRi Vx-line Nav Black 5dr,"21,158",Manual,2019,Petrol,"£9,599"
BMW,1 Series,1.8,128ti 5dr Step Auto [Live Cockpit Pro-Pro pk],"10,725",Manual,2023,Petrol,"£29,599"
Jeep,Renegade,1.8,1.0 T3 GSE Night Eagle II 5dr,"10,954",Manual,2020,Petrol,"£15,999"
Citroen,C4 Cactus,1.8,1.2 PureTech 130 Flair EAT6 5dr,"13,932",Manual,2020,Petrol,"£14,699"
Seat,Leon,1.8,2.0 TSI 190 FR [EZ] 5dr DSG,"48,038",Manual,2019,Petrol,"£12,999"
Ford,B-Max,1.8,1.6 Titanium Navigator 5dr Powershift,"8,194",Manual,2017,Petrol,"£11,999"
Audi,Q7,1.8,55 TFSI Quattro Black Edition 5dr Tiptronic,"13,241",Manual,2022,Petrol,"£52,599"
BMW,1 Series,1.8,128ti 5dr Step Auto [Live Cockpit Pro-Pro pk],"10,046",Manual,2023,Petrol,"£29,599"
Citroen,C3,1.8,1.2 PureTech Shine 5dr,"18,615",Manual,2021,Petrol,"£11,299"
Citroen,C3,1.8,1.2 PureTech Shine 5dr,"22,170",Manual,2021,Petrol,"£11,599"
Mg,Motor Uk HS,1.8,1.5 T-GDI Exclusive 5dr,"18,736",Manual,2021,Petrol,"£17,699"
Hyundai,Kona,1.8,1.6 GDi Hybrid SE Connect 5dr DCT,"7,254",Manual,2022,Petrol/Electric,"£19,599"
Ford,Fiesta,1.8,1.0 EcoBoost Hbd mHEV 125 ST-Line Vignale 3dr Auto,"7,803",Manual,2022,Petrol/Electric,"£20,999"
