make,model,engine_size,trim,mileage,transmission_type,reg_year,fuel_type,price
Renault,Captur,1.8,1.3 TCE 130 Iconic 5dr,"48,049",Manual,2020,Petrol,"£10,999"
Vauxhall,Crossland X,1.8,1.2T [110] SRi Nav 5dr [6 Spd] [S-S],"42,973",Manual,2020,Petrol,"£9,999"
Fiat,500X,1.8,1.3 Red 5dr DCT,"4,780",Manual,2022,Petrol,"£18,499"
Toyota,C-Hr,1.8,1.8 Hybrid Icon 5dr CVT,"22,244",Manual,2019,Petrol/Electric,"£15,999"
Land,Rover Discovery Sport,1.8,2.0 SD4 240 HSE 5dr Auto,"36,503",Manual,2019,Diesel,"£23,999"
Nissan,Qashqai,1.8,1.3 DiG-T Tekna 5dr,"35,788",Manual,2019,Petrol,"£15,999"
BMW,2 Series,1.8,218i [136] M Sport 4dr DCT,"13,986",Manual,2022,Petrol,"£24,999"
BMW,2 Series,1.8,218i [136] M Sport 4dr DCT,"13,901",Manual,2022,Petrol,"£24,999"
Volkswagen,Golf,1.8,1.5 TSI Style Edition 5dr,"9,831",Manual,2023,Petrol,"£20,999"
Audi,A3,1.8,35 TFSI S Line 5dr S Tronic,"22,236",Manual,2020,Petrol,"£21,999"
BMW,1 Series,1.8,118i [136] M Sport 5dr Step Auto [LCP-Pro pk],"8,154",Manual,2023,Petrol,"£27,599"
BMW,3 Series,1.8,320d M Sport Shadow Edition 5dr Step Auto,"39,612",Manual,2018,Diesel,"£20,999"
Vauxhall,Crossland X,1.8,1.2 [83] Griffin 5dr [Start Stop],"35,256",Manual,2020,Petrol,"£9,799"
Volvo,Xc40,1.8,2.0 B3P Core 5dr Auto,"10,208",Manual,2023,Petrol,"£28,999"
BMW,X1,1.8,sDrive 18d M Sport 5dr Step Auto,"5,522",Manual,2023,Diesel,"£36,599"
Nissan,Qashqai,1.8,1.3 DiG-T MH 158 Acenta Premium 5dr Xtronic,"6,027",Manual,2023,Petrol,"£24,599"
Mercedes-Benz,GLB,1.8,GLB 220d 4Matic AMG Line Prem 5dr 8G-Tron [5 seat],"28,797",Manual,2021,Diesel,"£29,999"
Toyota,C-Hr,1.8,1.8 Hybrid Dynamic 5dr CVT,"25,349",Manual,2019,Petrol/Electric,"£18,999"
Peugeot,3008,1.8,1.2 PureTech GT Line Premium 5dr,"23,070",Manual,2020,Petrol,"£17,599"
Ford,Fiesta,1.8,1.5 EcoBoost ST-2 5dr,"18,239",Manual,2019,Petrol,"£14,999"
BMW,1 Series,1.8,118i [136] M Sport 5dr Step Auto [LCP-Pro pk],"4,874",Manual,2023,Petrol,"£27,599"
KIA,Stinger,1.8,2.0 T-GDi GT-Line 5dr Auto,"13,188",Manual,2019,Petrol,"£21,999"
Volvo,Xc40,1.8,2.0 B3P Core 5dr Auto,"4,657",Manual,2023,Petrol,"£29,599"
Volvo,Xc40,1.8,2.0 B3P Core 5dr Auto,"6,474",Manual,2023,Petrol,"£29,599"
Volvo,Xc60,1.8,2.0 B4P Plus Dark 5dr Geartronic,"5,890",Manual,2023,Petrol,"£39,699"
Volvo,Xc60,1.8,2.0 B4P Plus Dark 5dr Geartronic,"8,896",Manual,2023,Petrol,"£39,699"
Honda,Jazz,1.8,1.3 i-VTEC S 5dr,"12,372",Manual,2018,Petrol,"£10,999"
Volkswagen,Golf,1.8,1.5 TSI EVO Match 5dr,"26,922",Manual,2019,Petrol,"£15,599"
Citroen,C3,1.8,1.2 PureTech 82 Flair 5dr,"28,503",Manual,2020,Petrol,"£10,299"
Vauxhall,Corsa,1.8,1.2 Turbo SRi Premium 5dr,"43,009",Manual,2020,Petrol,"£9,999"
BMW,1 Series,1.8,128ti 5dr Step Auto [Live Cockpit Professional],"7,031",Manual,2023,Petrol,"£29,799"
Seat,Arona,1.8,1.0 TSI 115 FR [EZ] 5dr,"21,770",Manual,2020,Petrol,"£12,999"
KIA,Sportage,1.8,1.6T GDi ISG 2 5dr,"8,924",Manual,2022,Petrol,"£23,999"
Nissan,Qashqai,1.8,1.3 DiG-T 160 N-Connecta 5dr DCT,"14,607",Manual,2019,Petrol,"£18,999"
Renault,Kadjar,1.8,1.3 TCE Iconic 5dr,"7,777",Manual,2020,Petrol,"£13,999"
Citroen,C3,1.8,1.2 PureTech 82 Flair 5dr,"28,503",Manual,2020,Petrol,"£10,299"
Nissan,Qashqai,1.8,1.3 DiG-T 160 [157] Acenta Premium 5dr DCT,"17,919",Manual,2020,Petrol,"£15,999"
BMW,1 Series,1.8,128ti 5dr Step Auto [Live Cockpit Professional],"7,031",Manual,2023,Petrol,"£29,799"
Renault,Kadjar,1.8,1.3 TCE GT Line 5dr EDC,"5,857",Manual,2020,Petrol,"£16,599"
Vauxhall,Crossland,1.8,1.2 Elite Nav 5dr,"43,277",Manual,2021,Petrol,"£10,999"
Vauxhall,Corsa,1.8,1.2 Turbo SRi Premium 5dr,"45,738",Manual,2020,Petrol,"£9,999"
Vauxhall,Corsa,1.8,1.2 Turbo SRi 5dr,"41,564",Manual,2019,Petrol,"£9,999"
BMW,X1,1.8,sDrive 18d M Sport 5dr Step Auto [Pro Pack],"16,011",Manual,2022,Diesel,"£28,599"
Vauxhall,Crossland,1.8,1.2 SE 5dr,"50,206",Manual,2021,Petrol,"£9,699"
Mg,Motor Uk HS,1.8,1.5 T-GDI Exclusive 5dr,"17,019",Manual,2022,Petrol,"£17,699"
BMW,X2,1.8,sDrive 18i M Sport X 5dr Step Auto,"32,360",Manual,2019,Petrol,"£17,999"
Vauxhall,Crossland X,1.8,1.2T [130] Tech Line Nav 5dr [Start Stop],"8,502",Manual,2019,Petrol,"£11,999"
Ford,Fiesta,1.8,1.0 EcoBoost 140 ST-Line X 5dr,"51,271",Manual,2018,Petrol,"£9,999"
Nissan,Qashqai,1.8,1.5 dCi 115 Acenta Premium 5dr,"15,143",Manual,2019,Diesel,"£13,599"
KIA,Sportage,1.8,1.6T GDi GT-Line S 5dr DCT Auto [AWD],"30,906",Manual,2019,Petrol,"£20,999"
Renault,Kadjar,1.8,1.3 TCE Iconic 5dr,"17,940",Manual,2019,Petrol,"£13,699"
Mercedes-Benz,Glc Coupe,1.8,GLC 300 4Matic AMG Line 5dr 9G-Tronic,"13,750",Manual,2021,Petrol,"£36,999"
Audi,Q5,1.8,45 TFSI Quattro S Line 5dr S Tronic,"25,365",Manual,2020,Petrol,"£29,999"
BMW,2 Series,1.8,M235i xDrive 4dr Step Auto,"27,296",Manual,2022,Petrol,"£27,999"
Hyundai,Tucson,1.8,1.6 GDi SE Nav 5dr 2WD,"21,468",Manual,2020,Petrol,"£13,999"
BMW,1 Series,1.8,128ti 5dr Step Auto [LCP-Pro-Tech pk],"9,751",Manual,2023,Petrol,"£29,999"
Ford,Focus,1.8,1.5 EcoBlue 120 ST-Line Edition 5dr,"42,263",Manual,2020,Diesel,"£13,999"
Volkswagen,Golf,1.8,1.5 TSI 150 Life 5dr,"25,915",Manual,2020,Petrol,"£16,999"
Peugeot,3008,1.8,1.2 PureTech Allure 5dr,"14,401",Manual,2020,Petrol,"£16,599"
Toyota,C-Hr,1.8,1.8 Hybrid Design 5dr CVT,"24,631",Manual,2020,Petrol/Electric,"£17,999"
KIA,Sportage,1.8,1.6 GDi ISG 1 5dr,"36,196",Manual,2020,Petrol,"£12,999"
Mercedes-Benz,GLA,1.8,GLA 180 Urban Edition 5dr Auto,"19,233",Manual,2019,Petrol,"£19,599"
Audi,A4,1.8,35 TFSI Black Edition 4dr S Tronic [Comfort-PlusSound],"2,609",Manual,2023,Petrol,"£29,999"
Vauxhall,Corsa,1.8,1.2 Turbo SRi Premium 5dr,"42,494",Manual,2020,Petrol,"£9,999"
Audi,A4,1.8,35 TFSI Black Edition 4dr S Tronic [Comfort-PlusSound],"3,227",Manual,2023,Petrol,"£29,999"
